ts_ms,sta,request_id,status_code,latency_ms
1776976588764,sta2,1264,200,11.121
1776976588788,sta3,1161,200,9.498
1776976588802,sta4,1250,200,10.065
1776976588811,sta2,1265,200,3.5500000000000003
1776976588831,sta3,1162,200,14.796999999999999
1776976588845,sta4,1251,200,11.709000000000001
1776976588853,sta2,1266,200,11.129
1776976588883,sta3,1163,200,13.2
1776976588897,sta2,1267,200,7.407
1776976588897,sta4,1252,200,12.254
1776976588928,sta3,1164,200,10.409
1776976588940,sta2,1268,200,10.33
1776976588950,sta4,1253,200,11.469
1776976588973,sta3,1165,200,8.644
1776976588989,sta2,1269,200,13.23
1776976588998,sta4,1254,200,14.121
1776976589015,sta3,1166,200,10.067
1776976589044,sta4,1255,200,15.138
1776976589043,sta2,1270,200,16.708000000000002
1776976589064,sta3,1167,200,9.189
1776976589092,sta4,1256,200,9.207
1776976589093,sta2,1271,200,9.898
1776976589108,sta3,1168,200,11.283
1776976589136,sta4,1257,200,9.852
1776976589143,sta2,1272,200,11.846
1776976589159,sta3,1169,200,11.584000000000001
1776976589179,sta4,1258,200,11.722
1776976589194,sta2,1273,200,13.014
1776976589204,sta3,1170,200,13.044
1776976589223,sta4,1259,200,10.856
1776976589242,sta2,1274,200,10.065
1776976589257,sta3,1171,200,17.124
1776976589274,sta4,1260,200,15.977000000000002
1776976589290,sta2,1275,200,9.808000000000002
1776976589314,sta3,1172,200,12.652999999999999
1776976589324,sta4,1261,200,11.857
1776976589333,sta2,1276,200,10.036
1776976589360,sta3,1173,200,12.529
1776976589371,sta4,1262,200,12.200000000000001
1776976589377,sta2,1277,200,10.956000000000001
1776976589405,sta3,1174,200,12.13
1776976589417,sta4,1263,200,14.415000000000001
1776976589423,sta2,1278,200,14.999
1776976589449,sta3,1175,200,11.209999999999999
1776976589471,sta4,1264,200,10.561
1776976589473,sta2,1279,200,10.905
1776976589493,sta3,1176,200,11.426
1776976589513,sta4,1265,200,19.276999999999997
1776976589516,sta2,1280,200,17.697
1776976589539,sta3,1177,200,15.389
1776976589575,sta2,1281,200,10.31
1776976589574,sta4,1266,200,13.783999999999999
1776976589591,sta3,1178,200,12.786999999999999
1776976589620,sta2,1282,200,9.726
1776976589628,sta4,1267,200,16.636000000000003
1776976589644,sta3,1179,200,14.385
1776976589670,sta2,1283,200,10.459
1776976589685,sta4,1268,200,11.834000000000001
1776976589699,sta3,1180,200,13.826
1776976589714,sta2,1284,200,17.288
1776976589731,sta4,1269,200,11.624
1776976589755,sta3,1181,200,9.838
1776976589766,sta2,1285,200,19.275000000000002
1776976589783,sta4,1270,200,18.303
1776976589799,sta3,1182,200,8.805
1776976589826,sta2,1286,200,11.459999999999999
1776976589834,sta4,1271,200,12.605
1776976589850,sta3,1183,200,9.237
1776976589874,sta2,1287,200,15.66
1776976589883,sta4,1272,200,14.661
1776976589898,sta3,1184,200,10.493
1776976589929,sta2,1288,200,13.385
1776976589933,sta4,1273,200,13.894
1776976589943,sta3,1185,200,11.605
1776976589980,sta2,1289,200,7.547
1776976589980,sta4,1274,200,12.395
1776976589993,sta3,1186,200,12.536999999999999
1776976590020,sta2,1290,200,11.789000000000001
1776976590032,sta4,1275,200,11.674
1776976590040,sta3,1187,200,9.234
1776976590065,sta2,1291,200,11.645000000000001
1776976590076,sta4,1276,200,10.511
1776976590084,sta3,1188,200,11.594
1776976590108,sta2,1292,200,15.382
1776976590122,sta4,1277,200,12.657
1776976590133,sta3,1189,200,9.854
1776976590157,sta2,1293,200,8.342
1776976590174,sta4,1278,200,11.717
1776976590184,sta3,1190,200,13.162
1776976590198,sta2,1294,200,15.181000000000001
1776976590218,sta4,1279,200,4.95
1776976590231,sta3,1191,200,12.021
1776976590246,sta2,1295,200,16.162
1776976590262,sta4,1280,200,12.409999999999998
1776976590277,sta3,1192,200,11.472
1776976590301,sta2,1296,200,11.219
1776976590311,sta4,1281,200,12.155
1776976590323,sta3,1193,200,11.696
1776976590345,sta2,1297,200,9.795
1776976590360,sta4,1282,200,8.21
1776976590374,sta3,1194,200,9.529
1776976590395,sta2,1298,200,14.017
1776976590406,sta4,1283,200,10.992
1776976590417,sta3,1195,200,10.014999999999999
1776976590451,sta4,1284,200,9.763000000000002
1776976590445,sta2,1299,200,14.497
1776976590466,sta3,1196,200,9.563
1776976590493,sta4,1285,200,12.092
1776976590494,sta2,1300,200,12.248999999999999
1776976590516,sta3,1197,200,13.376000000000001
1776976590540,sta2,1301,200,11.360999999999999
1776976590538,sta4,1286,200,17.852
1776976590568,sta3,1198,200,11.598
1776976590586,sta2,1302,200,10.026
1776976590595,sta4,1287,200,11.634
1776976590615,sta3,1199,200,12.514000000000001
1776976590630,sta2,1303,200,10.216
1776976590641,sta4,1288,200,9.695
1776976590667,sta3,1200,200,11.303
1776976590673,sta2,1304,200,12.075000000000001
1776976590686,sta4,1289,200,11.734
1776976590711,sta3,1201,200,12.765
1776976590721,sta2,1305,200,14.141
1776976590737,sta4,1290,200,8.843
1776976590757,sta3,1202,200,14.449
1776976590773,sta2,1306,200,14.611
1776976590784,sta4,1291,200,11.974
1776976590811,sta3,1203,200,9.839
1776976590821,sta2,1307,200,12.886
1776976590829,sta4,1292,200,12.579999999999998
1776976590854,sta3,1204,200,8.276
1776976590880,sta4,1293,200,12.651000000000002
1776976590874,sta2,1308,200,15.799000000000001
1776976590897,sta3,1205,200,10.642999999999999
1776976590928,sta2,1309,200,12.946
1776976590926,sta4,1294,200,15.537
1776976590948,sta3,1206,200,12.251
1776976590976,sta2,1310,200,11.995000000000001
1776976590980,sta4,1295,200,14.307
1776976591001,sta3,1207,200,9.833
1776976591022,sta2,1311,200,12.25
1776976591034,sta4,1296,200,12.873000000000001
1776976591051,sta3,1208,200,12.49
1776976591074,sta2,1312,200,10.614
1776976591080,sta4,1297,200,12.581999999999999
1776976591101,sta3,1209,200,9.547
1776976591118,sta2,1313,200,12.93
1776976591129,sta4,1298,200,11.622
1776976591148,sta3,1210,200,11.344999999999999
1776976591164,sta2,1314,200,12.171
1776976591172,sta4,1299,200,11.873
1776976591198,sta3,1211,200,14.421
1776976591209,sta2,1315,200,12.449
1776976591219,sta4,1300,200,11.597
1776976591245,sta3,1212,200,12.93
1776976591266,sta4,1301,200,10.19
1776976591260,sta2,1316,200,13.607
1776976591290,sta3,1213,200,10.754
1776976591310,sta4,1302,200,9.553
1776976591314,sta2,1317,200,13.75
1776976591334,sta3,1214,200,13.328
1776976591355,sta4,1303,200,13.620999999999999
1776976591360,sta2,1318,200,13.632
1776976591381,sta3,1215,200,9.981
1776976591406,sta4,1304,200,12.296
1776976591413,sta2,1319,200,15.171000000000001
1776976591424,sta3,1216,200,12.304
1776976591453,sta4,1305,200,10.448
1776976591462,sta2,1320,200,11.001999999999999
1776976591471,sta3,1217,200,8.665000000000001
1776976591496,sta4,1306,200,12.009
1776976591509,sta2,1321,200,10.171
1776976591522,sta3,1218,200,9.418
1776976591545,sta4,1307,200,12.57
1776976591554,sta2,1322,200,11.582
1776976591567,sta3,1219,200,12.671
1776976591590,sta4,1308,200,12.421
1776976591599,sta2,1323,200,14.623000000000001
1776976591617,sta3,1220,200,12.349
1776976591636,sta4,1309,200,8.924
1776976591647,sta2,1324,200,10.198
